stem,algo,dimension,score
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mapreduce,accuracy,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,original,coverage,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,original,hierarchy,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,original,balance,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,original,conciseness,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,original,accuracy,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mapreduce,coverage,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mapreduce,hierarchy,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mapreduce,balance,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mapreduce,conciseness,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,mapreduce,accuracy,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,original,coverage,5
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,original,hierarchy,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,original,balance,4
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,original,conciseness,3
10_2307.02140v3_Towards_Open_Federated_Learning_Platforms__Survey_and_Vision_from_Technical_and_Legal_Perspectives,original,accuracy,4
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mapreduce,coverage,4
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mapreduce,hierarchy,4
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mapreduce,balance,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mapreduce,conciseness,5
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,mapreduce,accuracy,3
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,original,coverage,4
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,original,hierarchy,4
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,original,balance,4
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,original,conciseness,4
11_2408.12957v3_Image_Segmentation_in_Foundation_Model_Era__A_Survey,original,accuracy,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mapreduce,coverage,3
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mapreduce,hierarchy,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mapreduce,balance,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mapreduce,conciseness,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,mapreduce,accuracy,2
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,original,coverage,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,original,hierarchy,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,original,balance,4
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,original,conciseness,5
12_2301.08028v4_A_Tutorial_on_Meta-Reinforcement_Learning,original,accuracy,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mapreduce,coverage,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mapreduce,hierarchy,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mapreduce,balance,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mapreduce,conciseness,5
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,mapreduce,accuracy,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,original,coverage,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,original,hierarchy,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,original,balance,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,original,conciseness,4
13_2502.12128v5_LaM-SLidE_Latent_Space_Modeling_of_Spatial_Dynamical_Systems_via_Linked_Entities,original,accuracy,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mapreduce,coverage,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mapreduce,hierarchy,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mapreduce,balance,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mapreduce,conciseness,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,mapreduce,accuracy,3
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,original,coverage,3
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,original,hierarchy,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,original,balance,4
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,original,conciseness,3
14_2406.10833v3_A_Comprehensive_Survey_of_Scientific_Large_Language_Models_and_Their_Applications_in_Scientific_Discovery,original,accuracy,3
15_2302.08893v4_Active_learning_for_data_streams__a_survey,mapreduce,coverage,4
15_2302.08893v4_Active_learning_for_data_streams__a_survey,mapreduce,hierarchy,4
15_2302.08893v4_Active_learning_for_data_streams__a_survey,mapreduce,balance,5
15_2302.08893v4_Active_learning_for_data_streams__a_survey,mapreduce,conciseness,4
15_2302.08893v4_Active_learning_for_data_streams__a_survey,mapreduce,accuracy,4
15_2302.08893v4_Active_learning_for_data_streams__a_survey,original,coverage,3
15_2302.08893v4_Active_learning_for_data_streams__a_survey,original,hierarchy,4
15_2302.08893v4_Active_learning_for_data_streams__a_survey,original,balance,4
15_2302.08893v4_Active_learning_for_data_streams__a_survey,original,conciseness,3
15_2302.08893v4_Active_learning_for_data_streams__a_survey,original,accuracy,3
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,mapreduce,coverage,5
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,mapreduce,hierarchy,4
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,mapreduce,balance,5
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,mapreduce,conciseness,5
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,mapreduce,accuracy,3
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,original,coverage,4
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,original,hierarchy,4
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,original,balance,4
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,original,conciseness,4
16_2112.10006v6_Zero-shot_and_Few-shot_Learning_with_Knowledge_Graphs__A_Comprehensive_Survey,original,accuracy,4
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,mapreduce,coverage,4
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,mapreduce,hierarchy,4
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,mapreduce,balance,4
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,mapreduce,conciseness,5
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,mapreduce,accuracy,4
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,original,coverage,4
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,original,hierarchy,4
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,original,balance,4
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,original,conciseness,3
17_2412.06602v3_Towards_Controllable_Speech_Synthesis_in_the_Era_of_Large_Language_Models__A_Systematic_Survey,original,accuracy,3
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,mapreduce,coverage,4
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,mapreduce,hierarchy,4
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,mapreduce,balance,5
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,mapreduce,conciseness,5
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,mapreduce,accuracy,5
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,original,coverage,4
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,original,hierarchy,4
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,original,balance,5
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,original,conciseness,4
18_2506.01061v3_AceVFI__A_Comprehensive_Survey_of_Advances_in_Video_Frame_Interpolation,original,accuracy,4
19_2201.12150v2_Learning_Curves_for_Decision_Making_in_Supervised_Machine_Learning__A_Survey,mapreduce,coverage,4
19_2201.12150v2_Learning_Curves_for_Decision_Making_in_Supervised_Machine_Learning__A_Survey,mapreduce,hierarchy,4
19_2201.12150v2_Learning_Curves_for_Decision_Making_in_Supervised_Machine_Learning__A_Survey,mapreduce,balance,4
19_2201.12150v2_Learning_Curves_for_Decision_Making_in_Supervised_Machine_Learning__A_Survey,mapreduce,conciseness,5
19_2201.12150v2_Learning_Curves_for_Decision_Making_in_Supervised_Machine_Learning__A_Survey,mapreduce,accuracy,4
19_2201.12150v2_Learning_Curves_for_Decision_Making_in_Supervised_Machine_Learning__A_Survey,original,coverage,4
19_2201.12150v2_Learning_Curves_for_Decision_Making_in_Supervised_Machine_Learning__A_Survey,original,hierarchy,4
19_2201.12150v2_Learning_Curves_for_Decision_Making_in_Supervised_Machine_Learning__A_Survey,original,balance,4
19_2201.12150v2_Learning_Curves_for_Decision_Making_in_Supervised_Machine_Learning__A_Survey,original,conciseness,4
19_2201.12150v2_Learning_Curves_for_Decision_Making_in_Supervised_Machine_Learning__A_Survey,original,accuracy,3
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,mapreduce,coverage,4
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,mapreduce,hierarchy,4
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,mapreduce,balance,4
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,mapreduce,conciseness,4
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,mapreduce,accuracy,4
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,original,coverage,5
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,original,hierarchy,5
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,original,balance,5
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,original,conciseness,4
20_2204.10358v1_Creative_Problem_Solving_in_Artificially_Intelligent_Agents__A_Survey_and_Framework,original,accuracy,5
